Date,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1988-03-31,66.896726834,65.57406001,65.730164216,68.594070768,58.201924198,44.711864008,97.3698861,70.254363653,66.876460548,64.008432307,65.026026433,55.748624488,56.604576176,60.6939793,53.5836507,63.343755269,60.31431088,63.16842524,79.008803144,69.72702363,71.129967749,49.300461555,53.985883983,68.067706434,65.127391313,50.970412657,57.520526359,66.022619617,82.63872689,81.971823578,67.23251285,78.610285848,62.949072728,67.196321834,59.07876682,65.891697301,39.972992849,72.276472874,85.465374996,63.156198727,57.926082606,65.931980051,68.399593344,48.288580011,72.697542331,68.505645542,44.183191471,67.689547302,51.826018531,50.451437028
1988-04-30,67.176911174,66.295655979,65.890662203,68.907759067,59.02572583,44.757438643,98.39336658,70.83001843,67.32517201,64.360435499,66.054207468,55.957871352,57.330514322,61.08861016,53.993932349,63.590166518,60.54855849,62.97104299,79.755216573,70.564788445,71.544544219,49.849377392,54.295191811,68.21741119,65.507031004,51.235165936,57.713486398,66.305734051,83.034117427,82.767016451,67.13445271,79.067566069,63.314659075,67.09172189,59.634840332,65.984475725,40.293460343,73.10273899,86.124786554,63.246484416,57.825071811,66.127681974,68.358449831,48.226609187,73.869850136,69.239150121,44.3828257,68.155268382,52.135672779,50.268689359
1988-05-31,67.483118438,66.7509476,65.882555651,69.134568827,59.911931414,44.627565096,99.227813101,71.450413838,67.845950997,64.596622854,67.148423791,55.91014645,58.010983899,61.383249181,54.420597789,63.889571528,60.821376564,62.925439017,80.532775889,71.472770977,71.971703612,50.358949025,54.595609346,68.23853807,65.877939335,51.500847597,57.841308393,66.586638604,83.308468243,83.544487084,67.093394238,79.733414037,63.750221766,67.047457582,60.226637235,66.170905559,40.68487162,74.097354137,86.806857184,63.363984237,57.839797043,66.239904301,68.449616481,48.233649763,75.128320951,70.119303566,44.647811626,68.284043848,52.441659882,50.334273905
1988-06-30,67.783763881,67.519741687,65.755696795,69.179569761,60.903090714,44.363696884,99.528529948,72.155509274,68.274779071,64.777888233,68.163685855,55.70948852,58.577595561,61.693855501,54.858193192,64.142177232,61.134395024,62.989057099,81.260757229,72.338569682,72.08698996,50.746637935,54.779810093,68.181247418,66.002253809,51.75448968,57.86026217,66.907741872,83.408819597,84.038079155,67.205527924,80.497371335,64.154231835,67.100991974,60.611450506,66.108907769,41.117270216,75.157786829,87.277333047,63.500198406,57.934803022,66.278951807,68.515682616,48.238866761,76.388662937,70.960407693,44.925465335,67.999361631,52.839379309,50.77428012
1988-07-31,67.831966654,68.652334156,65.647388196,69.068117045,61.919326885,44.163049978,99.401435658,72.970500616,68.420711431,64.82529294,69.161779782,55.564049321,59.086725239,61.967738667,55.214516074,64.201662822,61.51768743,62.919101118,81.888150522,73.134222062,72.047478022,51.067160935,54.749619294,68.084553945,66.085750578,51.919825386,57.805975777,67.272767584,83.273375607,84.056848652,67.390455279,80.944068994,64.450768738,67.17054033,60.645547512,65.73533791,41.601974758,75.912008506,87.449339104,63.719424797,58.023781521,66.302775808,68.145782659,48.140920279,77.478321952,71.572285389,45.231985059,67.460740946,53.336637313,51.494422661
1988-08-31,67.549706941,70.009679634,65.635872783,68.907357219,62.895920274,44.082999282,99.027927577,73.757975772,68.484369716,64.836835965,70.287192143,55.639569909,59.519914194,62.169268687,55.342983588,64.104565396,61.945464374,62.611490002,82.354070631,73.784142849,71.987195625,51.320228302,54.593399125,68.074666646,66.230618426,51.953736699,57.736360632,67.564440061,82.966891929,83.790497296,67.461465748,81.048566069,64.578893906,67.129002276,60.7078212,65.325570958,41.994141757,76.321662866,87.419776432,64.037767986,58.034152637,66.436662638,67.485331701,47.952180811,78.211426174,71.853528578,45.508388341,66.897780262,53.736435012,52.160860194
1988-09-30,67.128760557,71.595535021,65.672293113,68.876210814,63.946356733,44.049977246,98.640202383,74.435597935,68.699811295,64.898443098,71.431466899,55.912370917,59.650304753,62.376215443,55.244127109,63.975137032,62.228088881,62.173279051,82.677562708,74.327247612,71.980346968,51.492758093,54.562235143,68.194541659,66.243224612,51.948099238,57.674736517,67.736829929,82.758152502,83.56168229,67.370319317,81.045275326,64.498405196,66.965279392,60.903412496,65.118600663,42.122510573,76.685278516,87.346117456,64.33783206,57.970077068,66.596017414,66.969745063,47.788378075,78.605599849,72.124631235,45.724251303,66.371463188,53.906545029,52.564766004
1988-10-31,66.833043782,73.23889932,65.656113374,69.054847445,65.07366085,43.981793061,98.271663008,75.083719148,68.875582482,64.848393771,72.497022814,56.220397574,59.613602031,62.585538717,55.147092472,63.911882316,62.292490457,61.811654056,82.845214043,74.894725076,72.114015515,51.656905309,54.709104175,68.260809733,66.163968342,52.013814681,57.598703415,67.875476457,82.705552303,83.406037812,67.211294952,81.012401043,64.514137019,66.73924028,61.054441197,65.188458912,42.071714892,77.040744214,87.362294716,64.566038168,57.905537558,66.651733089,66.731967051,47.682019632,78.830833979,72.644665585,45.886266431,65.89732811,53.939691292,52.699541076
1988-11-30,66.742693989,74.337119042,65.550861194,69.319966029,66.143720934,43.860300295,97.812983373,75.639276782,69.061666102,64.778106166,73.603728268,56.484081771,59.778714351,62.669075186,55.219658302,63.894855341,62.309885283,61.60805853,82.925073139,75.504266634,72.148229132,51.817264391,54.913451765,68.134042766,66.016834474,52.156650399,57.585410505,68.071335236,82.741196834,83.465057524,67.072194843,80.939624471,64.795906323,66.50044277,61.192876786,65.434940008,42.124275362,77.334755482,87.418042362,64.669055658,57.886622403,66.587470419,66.675857355,47.597770117,79.082021871,73.232358674,46.07042922,65.605422,53.910453849,52.558083812
1988-12-31,66.856212502,74.263034024,65.42439824,69.485465808,67.107185161,43.760347008,97.38966512,76.014111651,69.240887034,64.972730893,74.813897223,56.740788416,60.097094898,62.655565354,55.429100549,63.882958422,62.380581498,61.464513321,83.0317548,76.142903269,72.098144314,51.940767361,55.104333165,67.808850142,65.852493891,52.319871144,57.718466339,68.332855101,82.914589467,83.625221893,67.102298623,80.836253609,65.082340973,66.307421935,61.325156181,65.592553417,42.337026261,77.678239617,87.527303259,64.718011331,57.943935208,66.50857362,66.607520706,47.54874815,79.45478576,73.720999275,46.421594599,65.630547508,53.896507182,52.260238952
1989-01-31,67.117306898,72.643159038,65.338146679,69.507880967,68.006228625,43.698020208,97.162905926,76.404930898,69.327170455,65.245056194,76.088133207,57.044219701,60.429867068,62.698740039,55.69148127,63.925825265,62.535383372,61.370878305,83.225346201,76.744972224,72.15209987,52.068304118,55.229373731,67.3613575,65.758126573,52.48074159,57.90465652,68.503360079,83.057264256,83.548141311,67.291688652,80.858461536,65.240258712,66.284396015,61.501497938,65.564665559,42.560768363,77.996656169,87.78670651,64.861082782,58.110744782,66.566293619,66.467475694,47.60116509,79.879195088,74.13871385,46.95440008,66.028165928,54.073110088,52.004453796
1989-02-28,67.448901333,69.558098162,65.291879403,69.453678284,68.985127017,43.662550404,97.328638058,76.960303322,69.581991422,65.377799704,77.476526585,57.354733487,60.883200801,62.898825622,56.033322734,64.014661133,62.756186642,61.370841401,83.495732821,77.334769243,72.123757246,52.228693909,55.3196028,67.009694192,65.886807834,52.615543248,58.077224361,68.552240296,82.917683042,83.283382425,67.495456013,80.991604633,65.335350075,66.478442782,61.751656771,65.53297105,42.796877616,78.218944093,88.042992033,65.007984412,58.37147633,66.744955686,66.490703241,47.792215815,80.275018283,74.629289828,47.511650497,66.702279266,54.422781034,51.952118444
1989-03-31,67.826745702,65.735847567,65.299855313,69.366063313,70.276552159,43.686630267,97.65382796,77.645746585,69.914931051,65.432393386,79.045240236,57.559145391,61.414353162,63.319906363,56.492977617,64.14380463,62.947109581,61.451419929,83.755491589,78.036324093,71.859564447,52.631849917,55.499407353,66.959175032,66.230067131,52.726018204,58.298822212,68.642650099,82.653148667,83.104195649,67.682506754,81.167919167,65.432557601,66.799809953,62.085535158,65.573884446,43.085995883,78.461842543,88.20937561,65.11136116,58.671301614,66.986469999,66.619070969,48.100329392,80.719542141,75.264256001,48.119938355,67.476596296,54.787600283,52.170145491
1989-04-30,68.169296461,62.347603451,65.340002116,69.287578337,71.695263191,43.800537437,97.683051543,78.435163489,70.266271291,65.480587839,80.802581079,57.635672371,61.921998029,63.922695015,56.96014608,64.384736011,63.123445379,61.64706957,84.03004293,78.814293381,71.671727157,53.275928005,55.772520251,67.249977967,66.590812094,52.848952784,58.616581978,68.836843002,82.424678448,83.111370756,67.836038874,81.42148968,65.620365102,67.184751024,62.404112,65.763324753,43.404062193,78.924296361,88.466670444,65.284799243,58.961198513,67.262628544,66.752794914,48.426967662,81.279859958,75.925532142,48.841354461,68.211438134,55.139989462,52.629810575
1989-05-31,68.377636288,60.188610223,65.376806158,69.32155774,73.009423883,43.986369213,97.332951758,79.216038718,70.569632103,65.654449919,82.620328871,57.660053031,62.406654317,64.475476881,57.395181116,64.704486349,63.482520306,61.976538567,84.332287619,79.490911471,71.673945174,53.847132449,56.025420566,67.781303454,66.864676082,53.014339069,59.017958601,69.05964551,82.176505247,83.166323676,67.922975927,81.64023343,65.830019248,67.618064811,62.811837438,66.224245749,43.857019429,79.722730083,88.870935278,65.600672812,59.250116734,67.572327192,67.079428212,48.67110095,81.910275806,76.420434207,49.515118128,68.843278337,55.52022866,53.248391258
1989-06-30,68.488336399,59.090760473,65.393158525,69.515011977,74.166002211,44.256030001,96.857825473,79.878248384,70.844644351,65.94333776,84.422381709,57.71983848,62.923126773,64.85361259,57.857073148,64.957498661,64.030118256,62.431575704,84.619233538,79.957622701,71.725726332,54.278611947,56.298022639,68.45805155,67.01178393,53.236283563,59.380681518,69.292110251,81.988170526,83.267703014,68.01197129,81.850744117,66.094749005,68.044401579,63.368961609,66.8054631,44.507770958,80.415378454,89.248344852,66.071032359,59.574814708,67.805045144,67.568321334,48.889230753,82.536499817,76.750839795,50.045394026,69.352460574,55.830481071,53.902392577
1989-07-31,68.660493663,58.447082316,65.473057732,69.757552161,75.315184169,44.594507204,96.426221535,80.346419419,71.142173906,66.187539395,86.189838936,57.924742996,63.331918374,65.150862271,58.304800046,65.059935257,64.48889184,62.900581704,84.953243957,80.312944752,71.869906474,54.728541805,56.609399716,69.129921029,67.095286814,53.481753194,59.586232274,69.682872809,82.087649681,83.266469945,68.201811823,82.115900204,66.418939663,68.398253332,63.852147717,67.277327726,45.082227536,80.673433054,89.597637633,66.648497104,59.903967206,67.830021738,67.994141623,49.147803416,83.065744851,77.012998419,50.696280178,69.747043214,56.056210088,54.446370688
1989-08-31,68.974696351,57.924468154,65.712342903,69.965286904,76.398381323,44.883388856,96.401895288,80.532133815,71.403889901,66.387157001,87.783786204,58.294520928,63.562936814,65.350035531,58.562523699,64.992257179,64.742724271,63.188896421,85.336653223,80.577922953,72.090513823,55.095497451,56.775611391,69.549815077,67.381463847,53.688355012,59.647078102,70.231017525,82.45665174,83.164718493,68.507672063,82.101356247,66.675609163,68.6643228,64.199484679,67.498966586,45.376302339,80.915434352,90.046855157,67.1592621,60.157392506,67.835202348,68.257424706,49.343461033,83.500590648,77.241147474,51.554823741,70.01100758,56.320412553,54.789281425
1989-09-30,69.301071681,57.430071469,65.851313806,70.11802637,77.13601437,45.072386873,96.670737512,80.490147624,71.593799918,66.649664075,89.136357876,58.740651432,63.863769409,65.466974957,58.672539819,64.969166687,64.859342832,63.352643102,85.595189684,80.839768018,72.294026105,55.145740937,56.743056984,69.669841748,67.800716618,53.807303082,59.731450441,70.812039514,82.719460573,83.228180376,68.863239261,81.891914227,66.797619076,68.856041755,64.41034751,67.438137898,45.56911907,81.261732057,90.468347688,67.391983619,60.304820322,67.922220237,68.281884642,49.411707151,83.894012539,77.48199981,52.366716853,70.0794079,56.594499492,55.002346153
